"no","key","domain","screen_area","type","description_kr","kr_context","en"
"78","news.keyFigures","news","NewsDetail","title","공시 상세 '주요 수치' 섹션 제목","주요 수치","Key Figures"
"79","newsGate.signupTitle","newsGate","NewsDetailGate/SignupGateModal","title","비회원 가입 유도 패널 제목","가입하고 읽어보세요","Sign up to read"
"80","newsGate.signupBody","newsGate","NewsDetailGate/SignupGateModal","label","비회원 가입 유도 패널 설명","무료 계정을 만들면 전체 뉴스와 공시를 읽을 수 있습니다.","Create a free account to read full news and disclosures."
"81","newsGate.signupCta","newsGate","NewsDetailGate/SignupGateModal","button","가입 유도 버튼","회원가입","Sign Up"
"82","newsGate.premiumTitle","newsGate","NewsDetailGate/BybitGateModal","title","프리미엄 잠금 해제 패널 제목","프리미엄 액세스 잠금 해제","Unlock Premium Access"
"83","newsGate.premiumBody","newsGate","NewsDetailGate/BybitGateModal","label","프리미엄 잠금 해제 패널 설명","UID를 연결하면 모든 뉴스와 공시에 대한 전체 액세스 권한을 얻습니다.","Connect your UID to get full access to all news & disclosures."
"84","newsGate.premiumCta","newsGate","NewsDetailGate/BybitGateModal","button","UID 연결 버튼","UID 연결하기","Connect Your UID"
"85","market.ariaOverview","market","MarketTicker","label","시장 개요 접근성 라벨","시장 개요","Market overview"
"86","market.overview","market","MarketTicker","title","시장 개요 섹션 제목","시장 개요","Market Overview"
"87","market.updated","market","MarketTicker","label","마지막 업데이트 시각 ({time}=시간)","업데이트 {time}","Updated {time}"
"88","connect.bybitUidLabel","connect","ExchangeConnectForm","label","Bybit UID 입력 라벨","Bybit UID","Bybit UID"
"89","connect.binanceUidLabel","connect","ExchangeConnectForm","label","Binance UID 입력 라벨","Binance UID","Binance UID"
"90","connect.uidPlaceholder","connect","ExchangeConnectForm","placeholder","UID 입력 placeholder","예: 123456789","e.g. 123456789"
"91","connect.cta","connect","ExchangeConnectForm","button","제출 및 신청 버튼","제출 및 신청","Submit & Apply"
"92","connect.uidRequired","connect","ExchangeConnectForm","error","UID 미입력 에러 ({exchange}=거래소명)","{exchange} UID를 입력해 주세요.","Please enter your {exchange} UID."
"93","connect.bybitDoneTitle","connect","ExchangeConnectForm","toast","Bybit 제출 완료(프리미엄 해제) 안내","제출 완료! 프리미엄이 활성화되었습니다.","Submitted! Premium unlocked."
"94","connect.binanceDoneTitle","connect","ExchangeConnectForm","toast","Binance 제출 완료(심사 중) 안내","제출 완료! 심사 중입니다.","Submitted! Under review."
"95","connect.submitFailed","connect","ExchangeConnectForm","error","제출 실패 일반 에러","제출에 실패했습니다. 다시 시도해 주세요.","Submission failed. Please try again."
"96","settings.heading","settings","설정 페이지","title","설정 페이지 제목","설정","Settings"
"97","settings.account","settings","SettingsClient","title","계정 섹션 제목","계정","Account"
"98","settings.logOut","settings","SettingsClient","button","로그아웃 버튼","로그아웃","Log Out"
"99","settings.premium","settings","SettingsClient","badge","프리미엄 배지","프리미엄","Premium"
"100","settings.connected","settings","SettingsClient","label","Bybit 연결됨 상태 문구","연결됨","Connected"
"101","settings.fullAccess","settings","SettingsClient","label","전체 액세스 권한 안내","모든 뉴스와 공시에 대한 전체 액세스 권한이 있습니다.","You have full access to all news & disclosures."
"102","settings.changeUid","settings","SettingsClient","button","UID 변경 버튼","UID 변경","Change UID"
"103","settings.bybitConnection","settings","SettingsClient","title","Bybit 연결 섹션 제목","Bybit 연결","Bybit Connection"
"104","settings.binanceConnection","settings","SettingsClient","title","Binance 연결 섹션 제목","Binance 연결","Binance Connection"
"105","settings.bybitUidLabel","settings","SettingsClient","label","Bybit UID 입력 라벨","Bybit UID","Bybit UID"
"106","settings.binanceUidLabel","settings","SettingsClient","label","Binance UID 입력 라벨","Binance UID","Binance UID"
"107","settings.bybitUidPlaceholder","settings","SettingsClient","placeholder","Bybit UID placeholder","예: 12345678","e.g. 12345678"
"108","settings.binanceUidPlaceholder","settings","SettingsClient","placeholder","Binance UID placeholder","예: 123456789","e.g. 123456789"
"109","settings.uidValue","settings","SettingsClient","label","연결된 UID 표시 ({uid}=UID 값)","UID: {uid}","UID: {uid}"
"110","settings.connectUnlock","settings","SettingsClient","button","연결 및 프리미엄 잠금 해제 버튼","연결하고 프리미엄 잠금 해제","Connect & Unlock Premium"
"111","settings.connecting","settings","SettingsClient","button","연결 중 버튼 문구","연결 중…","Connecting…"
"112","settings.submitAndApply","settings","SettingsClient","button","제출 및 신청 버튼","제출 및 신청","Submit & Apply"
"113","settings.submitting","settings","SettingsClient","button","제출 중 버튼 문구","제출 중…","Submitting…"
"114","settings.reapply","settings","SettingsClient","button","재신청 버튼","재신청","Re-apply"
"115","settings.underReview","settings","SettingsClient","label","심사 중 상태 문구/배지","심사 중","Under review"
"116","settings.approved","settings","SettingsClient","label","승인됨 상태 문구","승인됨 ✅","Approved ✅"
"117","settings.rejected","settings","SettingsClient","label","거절됨 상태 문구","거절됨","Rejected"
"118","settings.binanceUnderReview","settings","SettingsClient","label","Binance 심사 중 상세 안내 ({uidSuffix}=UID 괄호 표기)","Binance UID{uidSuffix}가 팀에서 검토 중입니다(보통 24시간 이내).","Your Binance UID{uidSuffix} is being reviewed by our team (usually within 24 hours)."
"119","settings.binanceRejected","settings","SettingsClient","label","Binance 거절됨 상세 안내","Binance 레퍼럴을 확인할 수 없습니다. 레퍼럴 링크로 가입했는지 확인 후 재신청해 주세요.","We couldn't verify your Binance referral. Make sure you signed up via our referral link, then re-apply."
"120","settings.errorBybitUidRequired","settings","SettingsClient","error","Bybit UID 미입력 에러","Bybit UID를 입력해 주세요.","Please enter your Bybit UID."
"121","settings.errorBinanceUidRequired","settings","SettingsClient","error","Binance UID 미입력 에러","Binance UID를 입력해 주세요.","Please enter your Binance UID."
"122","settings.errorBybitReferral","settings","SettingsClient","error","Bybit UID 미발견(레퍼럴) 에러","UID를 찾을 수 없습니다. 레퍼럴 링크로 가입했는지 확인해 주세요.","UID not found. Make sure you signed up via our referral link."
"123","settings.errorSubmitFailed","settings","SettingsClient","error","제출 실패 일반 에러","제출에 실패했습니다. 다시 시도해 주세요.","Submission failed. Please try again."
"124","settings.uidGuideTitle","settings","SettingsClient","title","UID 찾는 법 안내 제목 ({exchange}=거래소명)","{exchange} UID 찾는 방법","How to find your {exchange} UID"
"125","settings.uidGuideStep1","settings","SettingsClient","label","UID 찾기 1단계 ({exchange}=거래소명)","1. {exchange} 앱 열기","1. Open the {exchange} app"
"126","settings.uidGuideStep2","settings","SettingsClient","label","UID 찾기 2단계","2. 프로필 아이콘 탭하기","2. Tap your profile icon"
"127","settings.uidGuideStep3","settings","SettingsClient","label","UID 찾기 3단계","3. 이름 아래의 UID 복사하기","3. Copy the UID below your name"
"128","changeUid.title","changeUid","ChangeUidModal","title","UID 변경 모달 제목 ({exchange}=거래소명)","{exchange} UID 변경","Change {exchange} UID"
"129","changeUid.intro","changeUid","ChangeUidModal","label","UID 변경 영향 안내 머리말","UID를 변경하면 다음이 적용됩니다:","Changing your UID will:"
"130","changeUid.bulletDisablePremium","changeUid","ChangeUidModal","label","변경 영향: 프리미엄 비활성화","프리미엄 멤버십이 비활성화됩니다","Disable your Premium membership"
"131","changeUid.bulletResetStatus","changeUid","ChangeUidModal","label","변경 영향: 승인 상태 초기화","현재 승인 상태가 초기화됩니다","Reset your current approval status"
"132","changeUid.bulletResubmitReview","changeUid","ChangeUidModal","label","변경 영향: 새 UID 재심사 제출(Binance)","새 UID가 심사를 위해 제출됩니다","Submit your new UID for review"
"133","changeUid.bulletResubmitVerify","changeUid","ChangeUidModal","label","변경 영향: 새 UID 재인증 제출(Bybit)","새 UID가 인증을 위해 제출됩니다","Submit your new UID for verification"
"134","changeUid.newUidLabel","changeUid","ChangeUidModal","label","새 UID 입력 라벨 ({exchange}=거래소명)","새 {exchange} UID","New {exchange} UID"
"135","changeUid.newUidPlaceholder","changeUid","ChangeUidModal","placeholder","새 UID placeholder","예: 987654321","e.g. 987654321"
"136","changeUid.errorUidRequired","changeUid","ChangeUidModal","error","새 UID 미입력 에러 ({exchange}=거래소명)","새 {exchange} UID를 입력해 주세요.","Please enter your new {exchange} UID."
"137","changeUid.infoReview","changeUid","ChangeUidModal","label","제출 후 재심사 안내(Binance)","제출 후 신청이 초기화되어 다시 심사됩니다.","After submission, your application will be reset and reviewed again."
"138","changeUid.infoVerify","changeUid","ChangeUidModal","label","제출 후 자동 재인증 안내(Bybit)","제출 후 UID가 자동으로 재인증됩니다.","After submission, your UID will be re-verified automatically."
"139","changeUid.cancel","changeUid","ChangeUidModal","button","취소 버튼","취소","Cancel"
"140","changeUid.submit","changeUid","ChangeUidModal","button","제출 및 재신청 버튼","제출 및 재신청","Submit & Re-apply"
"141","changeUid.submitting","changeUid","ChangeUidModal","button","제출 중 버튼 문구","제출 중…","Submitting…"
"142","pagination.aria","pagination","Pagination","label","페이지네이션 접근성 라벨","페이지 매김","Pagination"
"143","pagination.previous","pagination","Pagination","label","이전 페이지 버튼 접근성 라벨","이전 페이지","Previous page"
"144","pagination.next","pagination","Pagination","label","다음 페이지 버튼 접근성 라벨","다음 페이지","Next page"
"145","legal.lastUpdated","legal","약관/방침 페이지","label","최종 수정일 표기 ({date}=날짜)","최종 수정일: {date}","Last Updated: {date}"
"146","error.network","error","공통","error","네트워크 오류","네트워크 오류입니다. 다시 시도해 주세요.","Network error. Please try again."
"147","error.unknown","error","공통","error","알 수 없는 오류","문제가 발생했습니다. 다시 시도해 주세요.","Something went wrong. Please try again."
"148","error.notAuthenticated","error","공통","error","미인증(로그인 필요) 오류","계속하려면 로그인해 주세요.","Please log in to continue."
"149","error.bybitVerifyOk","error","ExchangeConnectForm","toast","[code:BYBIT_VERIFY_OK] Bybit 인증 성공","Bybit UID가 인증되었습니다. 프리미엄이 활성화되었습니다.","Your Bybit UID is verified. Premium unlocked."
"150","error.bybitUidRequired","error","ExchangeConnectForm","error","[code:BYBIT_UID_REQUIRED] Bybit UID 필요","Bybit UID를 입력해 주세요.","Please enter your Bybit UID."
"151","error.bybitUidAlreadyLinked","error","ExchangeConnectForm","error","[code:BYBIT_UID_ALREADY_LINKED] 이미 연결된 Bybit UID","이 Bybit UID는 이미 다른 계정에 연결되어 있습니다.","This Bybit UID is already linked to another account."
"152","error.bybitReferralNotFound","error","ExchangeConnectForm","error","[code:BYBIT_REFERRAL_NOT_FOUND] 레퍼럴 미발견(HTTP 200·success=false 주의)","Bybit 레퍼럴에서 회원님 계정을 찾을 수 없습니다. 먼저 레퍼럴 링크로 가입해 주세요.","We couldn't find your account under our Bybit referral. Please sign up via our referral link first."
"153","error.bybitUserNotFound","error","ExchangeConnectForm","error","[code:BYBIT_USER_NOT_FOUND] Bybit 사용자 미발견","Bybit 사용자를 찾을 수 없습니다. UID를 확인 후 다시 시도해 주세요.","Bybit user not found. Check your UID and try again."
"154","error.bybitVerifyError","error","ExchangeConnectForm","error","[code:BYBIT_VERIFY_ERROR] Bybit 인증 실패","Bybit 인증에 실패했습니다. 잠시 후 다시 시도해 주세요.","Bybit verification failed. Please try again later."
"155","error.binanceConnectOk","error","ExchangeConnectForm","toast","[code:BINANCE_CONNECT_OK] Binance 제출 성공(심사 중)","Binance UID가 제출되어 심사 중입니다.","Your Binance UID was submitted and is under review."
"156","error.binanceUidRequired","error","ExchangeConnectForm","error","[code:BINANCE_UID_REQUIRED] Binance UID 필요","Binance UID를 입력해 주세요.","Please enter your Binance UID."
"157","error.binanceUidAlreadyLinked","error","ExchangeConnectForm","error","[code:BINANCE_UID_ALREADY_LINKED] 이미 연결된 Binance UID","이 Binance UID는 이미 다른 계정에 연결되어 있습니다.","This Binance UID is already linked to another account."
"158","error.binanceUserNotFound","error","ExchangeConnectForm","error","[code:BINANCE_USER_NOT_FOUND] Binance 사용자 미발견","Binance 사용자를 찾을 수 없습니다. UID를 확인 후 다시 시도해 주세요.","Binance user not found. Check your UID and try again."
"159","error.binanceConnectError","error","ExchangeConnectForm","error","[code:BINANCE_CONNECT_ERROR] Binance 연결 실패","Binance 연결에 실패했습니다. 잠시 후 다시 시도해 주세요.","Binance connection failed. Please try again later."
"160","seo.title","seo","전역 메타데이터","title","SEO 페이지 타이틀","K-Stock Helper - 영어로 보는 한국 주식 뉴스","K-Stock Helper - Korean Stock News in English"
"161","seo.description","seo","전역 메타데이터","label","SEO 메타 설명","글로벌 투자자를 위한 실시간 한국 주식 시장 뉴스와 공시(영어 제공)","Real-time Korean stock market news and disclosures in English for global investors"
